run_id,series,label,M,alpha,Q_W_mean,Q_X_mean,Q_Y_mean,FIT_Y_mean,NMSE_Y_mean
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.8,0.8008182048797607,0.7991307973861694,0.7995198369026184,0.8183041214942932,0.1816958785057068
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,1.9,0.9015366435050964,0.8998972773551941,0.9001824855804443,0.9061101675033569,0.09388981759548187
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,2.0,0.9932437539100647,0.9914210438728333,0.9922728538513184,0.9940792322158813,0.005920782219618559
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,2.1,1.0010197162628174,0.9991599917411804,1.0000277757644653,0.9999505877494812,4.9386024329578504e-05
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,2.3,1.0009249448776245,0.9990698099136353,0.9999417066574097,0.999995768070221,4.2220040086249355e-06
20260430_044004_m_sweep_2k_grid_c_bgs_N2000_M50_rank5-a24_S1_steps60000_dfa230,M150,M=150,150,2.5,1.0009514093399048,0.9990914463996887,0.9999477863311768,0.9999989867210388,1.0098008260683855e-06
20260430_115526_bgs_N2000_M300_rank1-a24_S1_steps60000_c719d1,M300,M=300,300,0.0,5.605193857299268e-45,5.605193857299268e-45,0.0,0.0,1.0
20260430_115526_bgs_N2000_M300_rank1-a24_S1_steps60000_c719d1,M300,M=300,300,0.3,0.006653342396020889,0.006372430361807346,0.043379273265600204,0.08193624019622803,0.918063759803772
20260430_115526_bgs_N2000_M300_rank1-a24_S1_steps60000_c719d1,M300,M=300,300,0.6,0.027136623859405518,0.027252787724137306,0.1821397989988327,0.28307151794433594,0.7169284820556641
20260430_115526_bgs_N2000_M300_rank1-a24_S1_steps60000_c719d1,M300,M=300,300,0.75,0.04556749388575554,0.04583912342786789,0.22435428202152252,0.32264935970306396,0.677350640296936
20260430_115526_bgs_N2000_M300_rank1-a24_S1_steps60000_c719d1,M300,M=300,300,0.85,0.06593453139066696,0.06611498445272446,0.24983106553554535,0.3425644040107727,0.6574355959892273
