run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_COS_sem,Q_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),1.9,0.8465402931,0.001763039883,0.0003942277025,0.4499402985,0.6173827395,-0.0006123776548,-0.001328087592
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2,0.8786584526,0.0004205657974,9.40413712e-05,0.5369232506,0.7004375219,-0.000948360888,-0.0003965098304
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.1,0.9999999732,5.287177612e-08,1.182248855e-08,0.9999267459,0.9999999611,0.001281974187,0.001614111033
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.2,1.000000018,7.514615692e-08,1.680319151e-08,0.9999693573,0.9999999953,0.005396934671,0.001791828388
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.3,1.000000006,5.435404218e-08,1.215393332e-08,0.9999827713,0.9999999988,0.002147542438,0.001735443398
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.4,1.000000083,5.604771924e-08,1.253265102e-08,0.9999887764,0.9999999996,-0.001893949229,-0.002569069082
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.5,1.000000083,5.604771924e-08,1.253265102e-08,0.9999920368,0.9999999998,-0.003878295707,-0.003642457724
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.6,0.9999999911,2.183601549e-08,4.8826815e-09,0.9999939203,0.9999999999,-0.003675041313,-0.002817734069
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.7,1.000000051,6.493466087e-08,1.451983158e-08,0.9999951094,0.9999999999,-0.002241725253,-0.003543524997
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.8,1.000000119,0,0,0.9999960065,1,0.004162795826,0.003569159316
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),2.9,0.9999999344,4.697256837e-08,1.05033856e-08,0.9999967158,1,-0.003088985221,-0.002638585749
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3,1.000000083,5.604771924e-08,1.253265102e-08,0.9999972582,1,-0.001241493435,0.001948136347
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.1,1.00000006,6.115307522e-08,1.367424332e-08,0.999997586,1,0.006137048551,0.005422495032
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.2,1,0,0,0.9999979138,1,0.00288213134,0.003358232108
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.3,1,0,0,0.9999981523,1,0.002253231651,0.003375930386
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.4,0.9999999404,0,0,0.9999982715,1,0.001138187732,0.0003634141351
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.5,1.000000113,2.66560075e-08,5.960464478e-09,0.9999985069,1,-0.0002193354769,0.0007657637587
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.6,1.000000113,2.66560075e-08,5.960464478e-09,0.9999986261,1,0.009519698782,0.006039925548
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.7,1.000000119,0,0,0.9999987483,1,0.005258571584,0.005150502648
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.8,1.000000021,7.801512345e-08,1.744471193e-08,0.9999988079,1,-0.004213456606,-0.001543657956
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),3.9,1,0,0,0.9999988675,1,-0.007656242047,-0.009324302454
20260503_021534_bg_N200_M50_a41_S20_steps5000_63ff7e,BiGAMP (F = 1),4,1,0,0,0.9999989867,1,0.001104699972,0.00277443626
_latest,"BiGAMP (F = Ising, no Onsager)",0,0.00113248243,0.005406425335,0.001208913456,4.392399569e-05,-7.796287537e-05,0.0002881027758,0.0002611785894
_latest,"BiGAMP (F = Ising, no Onsager)",0.1,0.04379093274,0.004139097873,0.000925530421,0.02498992346,-0.2761482596,0.001168324845,-4.632468335e-05
_latest,"BiGAMP (F = Ising, no Onsager)",0.2,0.05178729817,0.004626916721,0.001034610032,0.04925340042,-0.8076363802,0.0001069112695,-0.00172827288
_latest,"BiGAMP (F = Ising, no Onsager)",0.3,0.06151431426,0.005073434208,0.001134454377,0.07464894652,-1.32420218,-0.001397004351,0.0009061338496
_latest,"BiGAMP (F = Ising, no Onsager)",0.4,0.07352926582,0.004010507837,0.0008967768148,0.1019447595,-1.719260454,0.00216463278,0.0007222183631
_latest,"BiGAMP (F = Ising, no Onsager)",0.5,0.08240988106,0.005782171153,0.001292932775,0.1221520528,-1.959192872,-0.0004219041148,0.003073610598
