run_id,series,alpha,Q_Y_COS_mean,Q_Y_COS_std,Q_Y_mean,NMSE_Y_mean,FIT_Y_mean,Q_W_mean,Q_X_mean
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.5,0.2583838939666748,7.848473541898392e-05,0.028684907779097556,0.9549548983573913,0.045045101642608644,0.001401488516421523,0.0018553428584709764
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.6,0.31635724306106566,0.00014708524105746685,0.046011044085025786,0.9291307687759399,0.07086923122406005,0.0038651049602776767,0.002684503048658371
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.7,0.40669761300086976,0.00021168382279582434,0.07049797177314758,0.8890516996383667,0.1109483003616333,-0.0012349066382739693,-0.002186690640519373
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.8,0.4486166834831238,0.00017262119866087356,0.0887356698513031,0.8616528868675232,0.1383471131324768,-0.0013518508058041334,-0.0020524047082290053
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",0.9,0.5124967694282532,8.408044871910595e-05,0.11746440231800079,0.8176040053367615,0.18239599466323853,-0.0016209688968956471,-0.0014854692853987217
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.0,0.5475389242172242,0.0002896238492904655,0.1420809507369995,0.7831732749938964,0.2168267250061035,-0.002561828773468733,-0.0033185710373800246
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.1,0.5947649478912354,0.0001743655109476192,0.16513794660568237,0.7468150138854981,0.25318498611450196,0.0027040983899496497,0.004072287445887923
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.2,0.6426181077957154,0.00016830141376425865,0.19061041474342347,0.7067598819732666,0.2932401180267334,-0.0003163622692227364,0.001523831719532609
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.3,0.6604207515716553,0.0003546334201704227,0.21016242504119872,0.6809423446655274,0.31905765533447267,-0.0034743879456073045,-0.004926236206665635
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.4,0.7090802073478699,0.00014392396150944862,0.2492719292640686,0.6250383973121643,0.3749616026878357,-0.006628505932167172,-0.007676859269849956
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.5,0.7349533200263977,0.00029918368901886086,0.27536813020706175,0.5896445870399475,0.4103554129600525,-0.00422675609588623,-0.0007792670279741287
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.6,0.7699155807495117,0.0003406830268478635,0.3093530535697937,0.542738139629364,0.457261860370636,-0.006434866128256544,-0.00844159842818044
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.7,0.7984830617904664,0.00023967409139769223,0.3408385396003723,0.5005303382873535,0.4994696617126465,-0.0032389579340815545,-0.005045649223029613
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.8,0.8251463770866394,0.00031151694872648796,0.37636829614639283,0.4553116917610168,0.5446883082389832,-0.005065790971275419,-0.004691848810762167
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",1.9,0.8462984681129455,0.001490212971639232,0.44959909915924073,0.38303364515304567,0.6169663548469544,-0.0016488504596054554,-0.00043248520232737065
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.0,0.8787522554397583,9.16217484695778e-05,0.5369911909103393,0.29944103956222534,0.7005589604377747,0.003829378983937204,0.0006887501833261922
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.1,0.9999998569488525,3.264680847556389e-08,0.999905800819397,3.001826314630307e-07,0.9999996998173686,0.01241168100386858,0.008991664182394743
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.2,0.9999999880790711,2.6656007498500224e-08,0.9999616622924805,9.925086175144315e-08,0.9999999007491382,0.006946037447778508,0.00449038646183908
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.3,0.9999999880790711,7.771494871619522e-08,0.9999773859977722,6.310618374527622e-08,0.9999999368938163,0.003874646546319127,0.0046299263834953305
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.4,1.0,7.300048299977713e-08,0.9999867796897888,5.029347889262681e-08,0.9999999497065211,0.003983416967093945,0.008680610451847315
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.5,1.000000011920929,6.529361695112779e-08,0.9999896168708802,4.3561757934185155e-08,0.999999956438242,0.011076024454087018,0.007121662981808186
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.6,0.9999999523162841,2.6656007498500224e-08,0.9999935150146484,3.800132404307988e-08,0.9999999619986759,-0.013232272118330002,-0.01189610322471708
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.7,0.9999999642372132,3.2646808475563895e-08,0.9999985098838806,3.490569895348017e-08,0.999999965094301,0.009802170982584357,0.005541096813976765
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.8,1.000000035762787,7.996802249550067e-08,0.9999923825263977,3.246651232302611e-08,0.9999999675334876,0.001801497209817171,0.004785376868676394
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",2.9,0.9999999880790711,2.6656007498500224e-08,0.9999932765960693,3.045835015313969e-08,0.9999999695416498,-0.03718848973512649,-0.03654089197516441
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.0,0.9999999761581421,3.2646808475563895e-08,0.9999962329864502,2.883247134377598e-08,0.9999999711675287,0.009918535128235817,0.015950461104512214
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.1,0.9999999403953552,4.2146848510894035e-08,0.9999983191490174,2.777594261260674e-08,0.9999999722240573,0.008912190655246377,0.007402380369603634
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.2,1.0000000596046448,8.429369702178807e-08,0.9999977827072144,2.6777810546718682e-08,0.9999999732221895,0.006081295269541443,0.005791544076055288
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.3,0.9999999642372132,3.264680847556389e-08,0.9999985337257385,2.5778201973025715e-08,0.999999974221798,0.012200883589684963,0.014555202983319759
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.4,1.000000011920929,6.529361695112778e-08,0.9999965906143189,2.5089386923582423e-08,0.9999999749106131,0.004875612301111687,0.005448877462185919
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.5,1.000000011920929,6.529361695112779e-08,0.9999959468841553,2.4389950326053623e-08,0.9999999756100497,-0.0003630449995398521,0.0004728728905320168
20260503_012128_bg_N200_M50_a41_S5_steps5000_ddc484,"Dense BiGAMP, 5k steps",3.6,0.9999999642372132,5.331201499700045e-08,0.9999979853630065,2.342525853293864e-08,0.9999999765747415,0.002011046651750803,-0.0013097490998916328
