run_id,series,alpha,Q_W_mean
_latest,"BiGAMP (F = Ising, no Onsager)",3.7,0.01520313323
_latest,"BiGAMP (F = Ising, no Onsager)",3.8,0.07958873361
_latest,"BiGAMP (F = Ising, no Onsager)",3.9,0.01163859386
_latest,"BiGAMP (F = Ising, no Onsager)",4,-0.0001250645146
_latest,"BiGAMP (F = Ising, Onsager)",0,0
_latest,"BiGAMP (F = Ising, Onsager)",0.1,-2.799428316e-20
_latest,"BiGAMP (F = Ising, Onsager)",0.2,-4.838013047e-05
_latest,"BiGAMP (F = Ising, Onsager)",0.3,0.0002837415086
_latest,"BiGAMP (F = Ising, Onsager)",0.4,0.0009506243514
_latest,"BiGAMP (F = Ising, Onsager)",0.5,-0.0005840244121
_latest,"BiGAMP (F = Ising, Onsager)",0.6,0.0008769351989
_latest,"BiGAMP (F = Ising, Onsager)",0.7,-0.005286589731
_latest,"BiGAMP (F = Ising, Onsager)",0.8,-0.00559252454
_latest,"BiGAMP (F = Ising, Onsager)",0.9,0.0005702145863
_latest,"BiGAMP (F = Ising, Onsager)",1,0.006434047129
_latest,"BiGAMP (F = Ising, Onsager)",1.1,-0.003285086481
_latest,"BiGAMP (F = Ising, Onsager)",1.2,-0.001808757777
_latest,"BiGAMP (F = Ising, Onsager)",1.3,0.00609355513
_latest,"BiGAMP (F = Ising, Onsager)",1.4,-0.01390375104
_latest,"BiGAMP (F = Ising, Onsager)",1.5,0.003950378392
_latest,"BiGAMP (F = Ising, Onsager)",1.6,0.002352579031
_latest,"BiGAMP (F = Ising, Onsager)",1.7,-0.006890593562
_latest,"BiGAMP (F = Ising, Onsager)",1.8,-0.007288561203
_latest,"BiGAMP (F = Ising, Onsager)",1.9,0.002053893404
_latest,"BiGAMP (F = Ising, Onsager)",2,0.03396460414
_latest,"BiGAMP (F = Ising, Onsager)",2.1,0.03729569167
_latest,"BiGAMP (F = Ising, Onsager)",2.2,-0.0269660987
_latest,"BiGAMP (F = Ising, Onsager)",2.3,-0.009161545895
_latest,"BiGAMP (F = Ising, Onsager)",2.4,0.03710315749
_latest,"BiGAMP (F = Ising, Onsager)",2.5,0.00879047811
_latest,"BiGAMP (F = Ising, Onsager)",2.6,0.02313593216
_latest,"BiGAMP (F = Ising, Onsager)",2.7,0.03566786274
_latest,"BiGAMP (F = Ising, Onsager)",2.8,0.01480425894
_latest,"BiGAMP (F = Ising, Onsager)",2.9,-0.04095955566
_latest,"BiGAMP (F = Ising, Onsager)",3,0.02663853206
_latest,"BiGAMP (F = Ising, Onsager)",3.1,-0.01121544559
_latest,"BiGAMP (F = Ising, Onsager)",3.2,-0.02064323612
_latest,"BiGAMP (F = Ising, Onsager)",3.3,0.01474914607
_latest,"BiGAMP (F = Ising, Onsager)",3.4,-0.0148165049
_latest,"BiGAMP (F = Ising, Onsager)",3.5,-0.03606835008
_latest,"BiGAMP (F = Ising, Onsager)",3.6,0.05579606444
_latest,"BiGAMP (F = Ising, Onsager)",3.7,0.02474426106
_latest,"BiGAMP (F = Ising, Onsager)",3.8,0.04167403653
_latest,"BiGAMP (F = Ising, Onsager)",3.9,0.01771729812
_latest,"BiGAMP (F = Ising, Onsager)",4,0.01229375508
